,bnf_code,quantity
0,1,946
1,4,212835
2,7,9250
3,8,13
4,9,13500
5,10,240
6,11,60000
7,12,168
8,14,43875
9,15,2970
10,16,2321
11,19,2220
12,20,230
13,21,30
14,22,10
15,23,3029
16,24,260
17,25,1514
18,26,3039
19,27,205800
20,28,15657
21,29,3331430
22,30,4948
23,31,13872
24,33,6190
25,34,40
26,36,90
27,37,17374
28,39,1642
29,40,1950
30,42,234630
31,43,40
32,44,21
33,45,61
34,46,60
35,47,1566
36,48,133
37,49,50
38,51,1465
39,55,2
40,56,18
41,58,19
42,59,3330
43,60,1439504
44,61,5973
45,62,11095128
46,63,90
47,64,30
48,65,1050
49,66,610
50,67,39460
51,68,5148
52,69,120
53,70,27605219
54,71,630
55,72,680
56,75,422
57,76,36105
58,77,2
59,78,1920
60,79,2
61,80,623
62,82,400
63,83,46
64,84,67
65,86,1825831
66,88,821
67,89,970
68,90,448
69,91,7
70,92,157
71,93,526575
72,96,3246
73,97,23
74,101,200
75,102,7638
76,103,348524
77,106,1718
78,107,430
79,108,100
80,109,762
81,110,30
82,111,29
83,113,2
84,115,1816411
85,116,7250
86,117,3115
87,118,473
88,119,28
89,120,278
90,121,3
91,122,11816
92,123,150
93,124,180
94,125,304814
95,126,20
96,127,2500
97,128,10
98,129,790
99,131,780
100,132,9600
101,133,52018184
102,135,545
103,136,450
104,140,8685
105,141,130
106,142,10488
107,144,22000
108,145,150
109,146,27146
110,147,4
111,148,120
112,149,13510
113,150,318000
114,151,481740
115,152,13734
116,153,948
117,154,728
118,155,660
119,156,30
120,159,113288
121,160,2110
122,161,10292242
123,162,91
124,164,1650
125,165,332
126,167,811
127,168,119
128,169,1050
129,170,123375
130,171,14250
131,172,9070
132,173,12102
133,174,206383
134,175,86
135,176,6171
136,177,194
137,178,3969
138,180,795792
139,181,560
140,182,18225
141,183,21
142,186,30
143,187,20
144,188,6867
145,190,1296
146,191,797
147,192,1753
148,193,14310
149,194,1682
150,195,5072
151,197,476
152,199,1824
153,200,540
154,201,150
155,202,5313
156,203,278790
157,204,114
158,206,1606
159,207,4
160,210,42
161,211,487
162,212,8372
163,214,1070
164,215,144
165,216,333300
166,217,2352
167,218,196
168,219,10869
169,220,304796
170,221,7588
171,222,12800
172,224,97898
173,225,2540
174,226,24858
175,227,125
176,228,36
177,229,11
178,230,53
179,232,34340
180,233,56730
181,234,11
182,237,95
183,238,54203
184,239,2
185,240,20
186,241,330
187,242,446
188,243,492
189,244,418200
190,245,22865
191,246,4875
192,247,50
193,248,1260
194,249,17
195,251,16
196,252,6
197,254,3211
198,255,7
199,257,1134
200,261,114
201,262,6
202,264,21
203,265,2790
204,266,12
205,270,356
206,271,4
207,272,10125
208,273,179229
209,274,14580
210,275,277
211,276,194
212,277,400
213,278,2
214,279,2444
215,280,517252
216,281,150
217,282,810994
218,283,60
219,284,16355
220,285,62
221,287,122
222,288,750
223,289,990
224,291,114750
225,292,265
226,297,1065725
227,298,9
228,299,100
229,300,13361
230,301,1593000
231,302,801
232,304,19501
233,305,50
234,306,25
235,307,200
236,308,10
237,309,1350
238,310,1
239,311,2380
240,312,75
241,313,846750
242,314,1393500
243,315,60
244,316,30
245,317,8002
246,319,30
247,320,1180
248,321,150
249,322,300
250,323,9
251,325,2090
252,326,138
253,328,170
254,329,32
255,330,155
256,331,129603
257,332,8
258,333,20
259,334,5331
260,335,27318
261,336,38
262,338,750
263,340,41582
264,341,3550
265,342,110800
266,343,52158
267,344,600
268,347,4
269,348,1290
270,349,5
271,350,50589
272,351,2490
273,352,1108
274,353,3350
275,355,59
276,356,3000
277,357,321300
278,359,42
279,360,230
280,361,100548
281,362,18374336
282,363,7939650
283,364,2020
284,365,503250
285,367,36553
286,368,1200
287,369,550
288,370,312
289,371,15660
290,373,305073
291,374,24424
292,375,511
293,376,460
294,377,27273
295,378,162
296,380,2299800
297,382,200
298,383,40
299,385,17
300,386,3943250
301,387,333500
302,388,25
303,389,400
304,390,90
305,391,12
306,393,98796
307,394,7741
308,395,23179
309,396,30
310,398,235222
311,400,24182
312,401,15
313,402,2880
314,403,122
315,404,16
316,405,1252
317,406,175
318,407,58
319,410,12020
320,411,2
321,412,634
322,413,460
323,415,23039
324,416,902
325,419,5748
326,421,22
327,422,270
328,423,480
329,424,84
330,425,3309573
331,426,29
332,428,161
333,430,64371
334,431,868
335,435,60
336,437,442
337,438,1
338,439,13330
339,440,270
340,441,540
341,442,1140
342,443,39795
343,444,325
344,445,426272
345,446,484273
346,447,132
347,448,1
348,451,151
349,452,17
350,453,39338260
351,454,390
352,455,44
353,456,1170
354,457,23391
355,458,7000
356,459,1093846
357,460,84
358,461,26621
359,462,180
360,463,267612
361,464,5278
362,466,152
363,467,945
364,468,3292
365,470,5057
366,471,40
367,472,6639
368,473,6179
369,474,2881680
370,475,639312
371,476,1340
372,477,1830
373,478,60
374,482,3
375,483,1270
376,484,10766
377,485,868
378,487,10
379,489,25670
380,490,18695
381,491,10
382,493,276
383,494,1060160
384,497,4000
385,500,25
386,501,44
387,502,660
388,503,179
389,504,132
390,505,360
391,506,216156
392,508,7
393,509,405
394,511,20277
395,512,7260
396,513,37
397,514,17000
398,515,540
399,516,7173
400,517,70
401,518,7780
402,519,80180
403,521,60
404,522,3360
405,524,9520
406,525,1668
407,526,4167
408,528,470
409,530,150
410,532,870
411,534,24
412,535,24
413,536,548
414,537,109
415,538,2608
416,539,52703
417,541,1640
418,542,1069134
419,544,28000
420,545,127
421,548,32
422,549,10333
423,550,20
424,551,38056
425,552,30
426,553,6
427,554,31738
428,555,303
429,556,18
430,558,608
431,559,5325
432,560,1650
433,562,100
434,563,167040
435,565,6932
436,566,250
437,568,2
438,569,257455
439,570,35
440,571,43880
441,572,121
442,573,139623
443,574,36
444,575,111
445,577,328
446,579,5366
447,580,120
448,581,132
449,583,450
450,584,6385
451,585,7731
452,587,277
453,588,228
454,589,15540
455,590,3
456,591,140339
457,592,200
458,593,210
459,595,22
460,597,1868
461,598,40165
462,599,630
463,600,10725
464,601,5
465,602,10
466,603,1
467,604,18
468,605,149
469,607,4833
470,609,1250
471,610,193500
472,612,340
473,613,1990
474,614,10066
475,615,2700
476,616,1470
477,617,89
478,618,4923
479,619,7
480,620,4690
481,621,8461
482,622,60
483,623,638
484,625,600
485,626,15
486,627,840
487,629,125
488,630,46
489,631,190
490,632,30
491,634,8
492,635,500
493,636,785
494,637,30
495,638,690
496,639,848340
497,640,1310
498,641,200
499,642,14
500,643,460
501,645,60
502,646,84341
503,647,166
504,648,8
505,649,1122
506,650,95
507,651,5
508,652,66
509,656,186415
510,657,2400
511,662,5
512,663,50
513,664,1076
514,665,609
515,666,4460
516,667,1900
517,668,4819
518,669,4065115
519,670,80
520,671,20200
521,673,53
522,674,7
523,675,17
524,676,18400
525,677,19935909
526,678,11167
527,679,600
528,681,16240
529,683,8
530,684,1753
531,688,5006524
532,690,240
533,691,29232
534,692,15500
535,693,188
536,694,808393
537,695,2644
538,697,60
539,698,865
540,699,558250
541,700,500
542,701,40
543,702,28350
544,703,3240
545,705,420
546,707,1618
547,709,3310
548,710,93735
549,711,30
550,713,3428
551,716,181
552,717,12
553,718,16418
554,719,150
555,720,4
556,721,2949676
557,723,74266
558,724,264
559,725,66305
560,726,3
561,727,325
562,728,210
563,730,168011
564,731,920
565,732,1830
566,734,1588
567,736,82926
568,737,142
569,738,1200
570,739,2
571,740,273
572,741,224
573,742,4
574,743,22860
575,745,1166
576,746,79
577,747,2576208
578,748,4010
579,749,900
580,750,1187
581,751,536609
582,752,790
583,753,1410
584,754,2
585,755,5
586,756,7880
587,757,510
588,758,1750
589,759,55
590,760,3
591,761,130
592,762,21355214
593,763,145
594,764,22578
595,765,65
596,766,1
597,767,112
598,768,714
599,769,33
