,stripped_bnf_code,quantity
0,,
1,010101,6701118.0
2,010102,181361414.0
3,010200,33643853.0
4,010300,931.0
5,010301,25143691.0
6,010302,3034.0
7,010303,116642.0
8,010304,43520.0
9,010305,177188081.0
10,010401,4400.0
11,010402,12633187.0
12,010403,487.0
13,010501,25937411.0
14,010502,366421.0
15,010504,163672.0
16,010601,8543693.0
17,010602,46770386.0
18,010603,78511.0
19,010604,178684600.0
20,010605,16248.0
21,010606,5685.0
22,010607,297859.0
23,010701,701747.0
24,010702,2558877.0
25,010703,6.0
26,010704,192280.0
27,010801,46734.0
28,010901,2503350.0
29,010904,10112562.0
30,020101,7308125.0
31,020201,50439758.0
32,020202,40295407.0
33,020203,7731894.0
34,020204,2110332.0
35,020208,308.0
36,020302,4490831.0
37,020400,116756079.0
38,020501,859918.0
39,020502,2487813.0
40,020504,26441405.0
41,020505,194702182.0
42,020601,15353162.0
43,020602,120619659.0
44,020603,11367356.0
45,020604,1363003.0
46,020702,307667.0
47,020703,58.0
48,020801,672076.0
49,020802,62361677.0
50,020900,96260284.0
51,021100,2389255.0
52,021200,197416077.0
53,021300,5.0
54,030101,6672925.0
55,030102,13685455.0
56,030103,4029999.0
57,030104,246945.0
58,030200,2264886.0
59,030301,1539.0
60,030302,6679964.0
61,030303,5269.0
62,030401,87951001.0
63,030402,8190.0
64,030403,63935.0
65,030700,26692407.0
66,030800,64398.0
67,030901,6301185.0
68,030902,4528508.0
69,031000,837559.0
70,040101,19891178.0
71,040102,18011931.0
72,040103,22544.0
73,040201,29750887.0
74,040202,37518.0
75,040203,5457115.0
76,040301,69554292.0
77,040302,268976.0
78,040303,103385653.0
79,040304,32915050.0
80,040400,4539268.0
81,040501,3688096.0
82,040600,36875896.0
83,040701,436102917.0
84,040702,190616272.0
85,040703,100.0
86,040704,8939910.0
87,040801,180851501.0
88,040802,43802.0
89,040901,23040053.0
90,040902,4137519.0
91,040903,457196.0
92,041001,1259395.0
93,041002,3006943.0
94,041003,91648300.0
95,041100,6822664.0
96,050101,68259660.0
97,050102,2953958.0
98,050103,12559749.0
99,050104,31169.0
100,050105,13495372.0
101,050106,377393.0
102,050107,376237.0
103,050108,7719000.0
104,050109,267118.0
105,050110,98370.0
106,050111,1203658.0
107,050112,1212686.0
108,050113,5155833.0
109,050201,978948.0
110,050202,802.0
111,050203,2113520.0
112,050205,1893674.0
113,050301,20345.0
114,050302,3731779.0
115,050303,4252.0
116,050304,1570.0
117,050305,397.0
118,050401,8777300.0
119,050404,7960.0
120,050405,247.0
121,050408,8364.0
122,050501,272118.0
123,050502,1018.0
124,050503,292.0
125,050505,101.0
126,050506,210.0
127,060101,4536310.0
128,060102,227765406.0
129,060104,2083588.0
130,060106,58820731.0
131,060201,99458876.0
132,060202,2609110.0
133,060301,1289838.0
134,060302,33234866.0
135,060401,17658992.0
136,060402,10084382.0
137,060403,2376.0
138,060501,51567.0
139,060502,1144152.0
140,060601,348.0
141,060602,3389058.0
142,060701,152568.0
143,060702,27733.0
144,060703,15544.0
145,070101,1.0
146,070201,3731298.0
147,070202,978553.0
148,070301,36204891.0
149,070302,29288238.0
150,070303,22007.0
151,070305,14783.0
152,070401,20369239.0
153,070402,22784209.0
154,070403,798415.0
155,070404,1149.0
156,070405,2458927.0
157,070406,3107.0
158,080100,8692.0
159,080101,3554.0
160,080103,241333.0
161,080105,455619.0
162,080201,6664393.0
163,080202,1831873.0
164,080203,1.0
165,080204,317.0
166,080301,41771.0
167,080302,80172.0
168,080304,6842342.0
169,090101,48762700.0
170,090102,18924532.0
171,090103,13846.0
172,090104,13056.0
173,090106,210.0
174,090201,6455701.0
175,090202,1237130.0
176,090300,40.0
177,090401,463211787.0
178,090402,1621264622.0
179,090501,3319674.0
180,090502,1548030.0
181,090503,1720608.0
182,090504,236470.0
183,090505,4750.0
184,090601,413975.0
185,090602,18998761.0
186,090603,543699.0
187,090604,98738017.0
188,090605,379000.0
189,090606,81451.0
190,090607,4046338.0
191,090801,231911.0
192,090900,57682363.0
193,091000,1462750.0
194,091101,145570.0
195,091102,135187.0
196,091103,1098.0
197,091104,120151.0
198,091200,353923.0
199,100101,73251652.0
200,100102,92401.0
201,100103,9628000.0
202,100104,20481352.0
203,100105,18517.0
204,100201,1131697.0
205,100202,19324833.0
206,100301,104.0
207,100302,72459114.0
208,110301,1400619.0
209,110303,11894.0
210,110401,1019069.0
211,110402,3321422.0
212,110500,93003.0
213,110600,7454515.0
214,110700,1421.0
215,110801,11486134.0
216,110802,91272.0
217,110803,12020.0
218,120101,602052.0
219,120102,3055.0
220,120103,97282.0
221,120201,1496273.0
222,120202,923854.0
223,120203,577899.0
224,120301,7581195.0
225,120302,601690.0
226,120303,23286.0
227,120304,10273328.0
228,120305,907177.0
229,130101,5472126.0
230,130201,558024977.0
231,130202,17219940.0
232,130203,19025.0
233,130300,5997308.0
234,130400,54535908.0
235,130501,252188.0
236,130502,10838796.0
237,130503,677270.0
238,130601,6512113.0
239,130602,1260652.0
240,130603,31800.0
241,130700,302463.0
242,130801,4021569.0
243,130802,179200.0
244,130900,27943222.0
245,131001,3727628.0
246,131002,5001288.0
247,131003,94174.0
248,131004,1738472.0
249,131005,137242.0
250,131101,146230.0
251,131102,7776724.0
252,131103,620368.0
253,131104,211258.0
254,131105,187230.0
255,131106,63570.0
256,131107,86.0
257,131200,427769.0
258,131301,18804.0
259,131400,675904.0
260,131500,16542.0
261,140400,305978.0
262,140501,17.0
263,140502,9.0
264,150101,288.0
265,150102,76.0
266,150103,88845.0
267,150104,148322.0
268,150201,1875477.0
269,180300,4100.0
